"","Colon cancer","Periodontal","Gastric and duodenal ulcer","Gastro-oesophageal reflux","Guttate psoriasis","Atopy","Diarrhea Irritable bowel syndrome(IBS)","Irritable bowel syndrome(IBS)","Constipation Irritable bowel syndrome(IBS)","Obesity","Ileal Crohn's disease(CD)","Bacterial Vaginosis","Infectious colitis","Ulcerative colitis","Crohn's disease(CD)","Allergic sensitization","Atopic dermatitis","Atopic sensitisation","Eczema","Recurrent wheeze","Allergy","Asthma","Inflammatory bowel disease(IBD)","Cystic fibrosis","Rheumatoid arthrits","Psoriasis","Necrotizing Enterocolitis","Systemic inflammatory response syndrome","COPD","Type 2 diabetes","Type 1 diabetes","Colorectal carcinoma","Kidney stones","Whipple's disease","Liver cirrhosis","Allergic asthma","Clostridium difficile infection(CDI)","Skin and mucosal infections","New-onset untreated rheumatoid arthrits"
"Colon cancer",1,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0367619429090039,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.0367619429090039,0.0220824020542819,0.0180216412275933,0.0498579928542293,0.0152223787564515,0.0180216412275933,0.0367619429090039,0.0498579928542293,0.10162667835798,0.0220824020542819,0.0498579928542293,0.0698989009481177,0.133086930698233,0.0280132767810044,0.0220824020542819,0.0180216412275933,0.687384851140685,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0180216412275933,0.0280132767810044,0.164303377491262,0.0220824020542819
"Periodontal",0.0498579928542293,1,0.173472727049999,0.491151693334087,0.173472727049999,0.639392737369731,0.491151693334087,0.386967653528542,0.319248127932352,0.0714299464323527,0.274166873716867,0.148976520421494,0.274166873716867,0.274166873716867,0.319248127932352,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.386967653528542,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.386967653528542,0.319248127932352,0.1210836969317,0.274166873716867,0.0714299464323527,0.132409048462471
"Gastric and duodenal ulcer",0.0367619429090039,0.173472727049999,1,0.226732089065557,0.421998728397202,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,0.421998728397202,0.304051121218363,0.271481053610807,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.173472727049999,0.128249502550101,0.0999899660382537,0.527498700621427,0.226732089065557,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.0892790042075809,0.115648378688694,0.0571439257166366,0.0999899660382537
"Gastro-oesophageal reflux",0.0698989009481177,0.491151693334087,0.226732089065557,1,0.226732089065557,0.491151693334087,0.605211212001579,0.491151693334087,0.417263256347538,0.0933602719681705,0.368184127562069,0.200063521369343,0.368184127562069,0.368184127562069,0.417263256347538,0.226732089065557,0.182053533683929,0.169754473731143,0.109892388006257,0.161291303605171,0.169754473731143,0.226732089065557,0.491151693334087,0.176370950666949,0.182053533683929,0.266881513729481,0.605211212001579,0.0698989009481177,0.200063521369343,0.074963219752206,0.0698989009481177,0.0698989009481177,0.266881513729481,0.491151693334087,0.417263256347538,0.169754473731143,0.368184127562069,0.0933602719681705,0.182053533683929
"Guttate psoriasis",0.0367619429090039,0.173472727049999,0.421998728397202,0.226732089065557,1,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,0.421998728397202,0.304051121218363,0.271481053610807,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.173472727049999,0.128249502550101,0.0999899660382537,0.824999518748676,0.226732089065557,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.0892790042075809,0.115648378688694,0.0571439257166366,0.0999899660382537
"Atopy",0.0498579928542293,0.639392737369731,0.173472727049999,0.491151693334087,0.173472727049999,1,0.491151693334087,0.386967653528542,0.319248127932352,0.0714299464323527,0.274166873716867,0.148976520421494,0.274166873716867,0.274166873716867,0.319248127932352,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.386967653528542,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.386967653528542,0.319248127932352,0.1210836969317,0.274166873716867,0.0714299464323527,0.132409048462471
"Diarrhea Irritable bowel syndrome(IBS)",0.0698989009481177,0.491151693334087,0.226732089065557,0.605211212001579,0.226732089065557,0.491151693334087,1,0.491151693334087,0.417263256347538,0.0933602719681705,0.368184127562069,0.200063521369343,0.368184127562069,0.368184127562069,0.417263256347538,0.226732089065557,0.182053533683929,0.169754473731143,0.109892388006257,0.161291303605171,0.169754473731143,0.226732089065557,0.491151693334087,0.176370950666949,0.182053533683929,0.266881513729481,0.605211212001579,0.0698989009481177,0.200063521369343,0.074963219752206,0.0698989009481177,0.0698989009481177,0.266881513729481,0.491151693334087,0.417263256347538,0.169754473731143,0.368184127562069,0.0933602719681705,0.182053533683929
"Irritable bowel syndrome(IBS)",0.0498579928542293,0.386967653528542,0.173472727049999,0.491151693334087,0.173472727049999,0.386967653528542,0.491151693334087,1,0.527498700621427,0.0714299464323527,0.453010235567401,0.148976520421494,0.453010235567401,0.453010235567401,0.527498700621427,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.639392737369731,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.639392737369731,0.319248127932352,0.1210836969317,0.453010235567401,0.0714299464323527,0.132409048462471
"Constipation Irritable bowel syndrome(IBS)",0.0367619429090039,0.319248127932352,0.138778105311832,0.417263256347538,0.138778105311832,0.319248127932352,0.417263256347538,0.527498700621427,1,0.0571439257166366,0.351665478053376,0.115648378688694,0.351665478053376,0.351665478053376,0.421998728397202,0.138778105311832,0.0999899660382537,0.0892790042075809,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.527498700621427,0.128249502550101,0.0999899660382537,0.173472727049999,0.417263256347538,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.527498700621427,0.255398361876396,0.0892790042075809,0.351665478053376,0.0571439257166366,0.0999899660382537
"Obesity",0.0367619429090039,0.0714299464323527,0.0571439257166366,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0933602719681705,0.0714299464323527,0.0571439257166366,1,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0571439257166366,0.041172338956928,0.0367619429090039,0.0714299464323527,0.0337236205744276,0.0367619429090039,0.0571439257166366,0.0714299464323527,0.128249502550101,0.041172338956928,0.0714299464323527,0.0933602719681705,0.0367619429090039,0.0476199206365212,0.0999899660382537,0.0892790042075809,0.0367619429090039,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.0367619429090039,0.0476199206365212,0.0571439257166366,0.041172338956928
"Ileal Crohn's disease(CD)",0.0280132767810044,0.274166873716867,0.115648378688694,0.368184127562069,0.115648378688694,0.274166873716867,0.368184127562069,0.453010235567401,0.351665478053376,0.0476199206365212,1,0.093408272931481,0.444229946263574,0.444229946263574,0.833333027777218,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.0609274353162256,0.0680322436110106,0.115648378688694,0.708500752496734,0.115768709113422,0.078342403747824,0.148976520421494,0.368184127562069,0.0280132767810044,0.093408272931481,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.453010235567401,0.212831890191799,0.0680322436110106,0.444229946263574,0.0476199206365212,0.078342403747824
"Bacterial Vaginosis",0.0280132767810044,0.148976520421494,0.115648378688694,0.200063521369343,0.115648378688694,0.148976520421494,0.200063521369343,0.148976520421494,0.115648378688694,0.0476199206365212,0.093408272931481,1,0.093408272931481,0.093408272931481,0.115648378688694,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.0609274353162256,0.0680322436110106,0.115648378688694,0.148976520421494,0.115768709113422,0.078342403747824,0.148976520421494,0.200063521369343,0.0280132767810044,0.093408272931481,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.148976520421494,0.115648378688694,0.0680322436110106,0.093408272931481,0.0476199206365212,0.078342403747824
"Infectious colitis",0.0280132767810044,0.274166873716867,0.115648378688694,0.368184127562069,0.115648378688694,0.274166873716867,0.368184127562069,0.453010235567401,0.351665478053376,0.0476199206365212,0.444229946263574,0.093408272931481,1,0.673076438978573,0.549999174998487,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.0609274353162256,0.0680322436110106,0.115648378688694,0.708500752496734,0.115768709113422,0.078342403747824,0.148976520421494,0.368184127562069,0.0280132767810044,0.093408272931481,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.453010235567401,0.212831890191799,0.0680322436110106,0.673076438978573,0.0476199206365212,0.078342403747824
"Ulcerative colitis",0.0280132767810044,0.274166873716867,0.115648378688694,0.368184127562069,0.115648378688694,0.274166873716867,0.368184127562069,0.453010235567401,0.351665478053376,0.0476199206365212,0.444229946263574,0.093408272931481,0.673076438978573,1,0.549999174998487,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.0609274353162256,0.0680322436110106,0.115648378688694,0.708500752496734,0.115768709113422,0.078342403747824,0.148976520421494,0.368184127562069,0.0280132767810044,0.093408272931481,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.453010235567401,0.212831890191799,0.0680322436110106,0.673076438978573,0.0476199206365212,0.078342403747824
"Crohn's disease(CD)",0.0367619429090039,0.319248127932352,0.138778105311832,0.417263256347538,0.138778105311832,0.319248127932352,0.417263256347538,0.527498700621427,0.421998728397202,0.0571439257166366,0.833333027777218,0.115648378688694,0.549999174998487,0.549999174998487,1,0.138778105311832,0.0999899660382537,0.0892790042075809,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.824999518748676,0.128249502550101,0.0999899660382537,0.173472727049999,0.417263256347538,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.527498700621427,0.255398361876396,0.0892790042075809,0.549999174998487,0.0571439257166366,0.0999899660382537
"Allergic sensitization",0.0367619429090039,0.173472727049999,0.421998728397202,0.226732089065557,0.421998728397202,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,1,0.304051121218363,0.271481053610807,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.173472727049999,0.128249502550101,0.0999899660382537,0.527498700621427,0.226732089065557,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.0892790042075809,0.115648378688694,0.0571439257166366,0.0999899660382537
"Atopic dermatitis",0.0220824020542819,0.132409048462471,0.304051121218363,0.182053533683929,0.304051121218363,0.132409048462471,0.182053533683929,0.132409048462471,0.0999899660382537,0.041172338956928,0.078342403747824,0.078342403747824,0.078342403747824,0.078342403747824,0.0999899660382537,0.304051121218363,1,0.842271159281001,0.0545213728963117,0.0467066854134993,0.053628690703256,0.0999899660382537,0.132409048462471,0.107359912685637,0.0636715268145186,0.402631596345066,0.182053533683929,0.0220824020542819,0.078342403747824,0.0262176875118606,0.0220824020542819,0.0220824020542819,0.132409048462471,0.132409048462471,0.0999899660382537,0.053628690703256,0.078342403747824,0.041172338956928,0.0636715268145186
"Atopic sensitisation",0.0180216412275933,0.1210836969317,0.271481053610807,0.169754473731143,0.271481053610807,0.1210836969317,0.169754473731143,0.1210836969317,0.0892790042075809,0.0367619429090039,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0892790042075809,0.271481053610807,0.842271159281001,1,0.0498579928542293,0.0369686341228109,0.043766842981298,0.0892790042075809,0.1210836969317,0.10162667835798,0.053628690703256,0.368193282506597,0.169754473731143,0.0180216412275933,0.0680322436110106,0.0220824020542819,0.0180216412275933,0.0180216412275933,0.1210836969317,0.1210836969317,0.0892790042075809,0.043766842981298,0.0680322436110106,0.0367619429090039,0.053628690703256
"Eczema",0.0498579928542293,0.0865818037575277,0.0714299464323527,0.109892388006257,0.0714299464323527,0.0865818037575277,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0714299464323527,0.0613432731147329,0.0613432731147329,0.0613432731147329,0.0613432731147329,0.0714299464323527,0.0714299464323527,0.0545213728963117,0.0498579928542293,1,0.0466468368249435,0.0498579928542293,0.0714299464323527,0.0865818037575277,0.147105639620399,0.0545213728963117,0.0865818037575277,0.109892388006257,0.0498579928542293,0.0613432731147329,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0613432731147329,0.0714299464323527,0.0545213728963117
"Recurrent wheeze",0.0152223787564515,0.113285175146291,0.0819002213950383,0.161291303605171,0.0819002213950383,0.113285175146291,0.161291303605171,0.113285175146291,0.0819002213950383,0.0337236205744276,0.0609274353162256,0.0609274353162256,0.0609274353162256,0.0609274353162256,0.0819002213950383,0.0819002213950383,0.0467066854134993,0.0369686341228109,0.0466468368249435,1,0.0369686341228109,0.590152324179741,0.113285175146291,0.0976858574475728,0.0467066854134993,0.113285175146291,0.161291303605171,0.0152223787564515,0.185269140043217,0.0192321645820291,0.0152223787564515,0.0152223787564515,0.113285175146291,0.113285175146291,0.0819002213950383,0.395774731323091,0.0609274353162256,0.0337236205744276,0.0467066854134993
"Allergy",0.0180216412275933,0.1210836969317,0.0892790042075809,0.169754473731143,0.0892790042075809,0.1210836969317,0.169754473731143,0.1210836969317,0.0892790042075809,0.0367619429090039,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0892790042075809,0.0892790042075809,0.053628690703256,0.043766842981298,0.0498579928542293,0.0369686341228109,1,0.0892790042075809,0.1210836969317,0.10162667835798,0.053628690703256,0.1210836969317,0.169754473731143,0.0180216412275933,0.0680322436110106,0.0220824020542819,0.0180216412275933,0.0180216412275933,0.1210836969317,0.1210836969317,0.0892790042075809,0.043766842981298,0.0680322436110106,0.0367619429090039,0.053628690703256
"Asthma",0.0367619429090039,0.173472727049999,0.138778105311832,0.226732089065557,0.138778105311832,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,0.138778105311832,0.0999899660382537,0.0892790042075809,0.0714299464323527,0.590152324179741,0.0892790042075809,1,0.173472727049999,0.128249502550101,0.0999899660382537,0.173472727049999,0.226732089065557,0.0367619429090039,0.351665478053376,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.643321970760248,0.115648378688694,0.0571439257166366,0.0999899660382537
"Inflammatory bowel disease(IBD)",0.0498579928542293,0.386967653528542,0.173472727049999,0.491151693334087,0.173472727049999,0.386967653528542,0.491151693334087,0.639392737369731,0.527498700621427,0.0714299464323527,0.708500752496734,0.148976520421494,0.708500752496734,0.708500752496734,0.824999518748676,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,1,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.639392737369731,0.319248127932352,0.1210836969317,0.708500752496734,0.0714299464323527,0.132409048462471
"Cystic fibrosis",0.10162667835798,0.147105639620399,0.128249502550101,0.176370950666949,0.128249502550101,0.147105639620399,0.176370950666949,0.147105639620399,0.128249502550101,0.128249502550101,0.115768709113422,0.115768709113422,0.115768709113422,0.115768709113422,0.128249502550101,0.128249502550101,0.107359912685637,0.10162667835798,0.147105639620399,0.0976858574475728,0.10162667835798,0.128249502550101,0.147105639620399,1,0.107359912685637,0.147105639620399,0.176370950666949,0.10162667835798,0.115768709113422,0.107359912685637,0.10162667835798,0.10162667835798,0.147105639620399,0.147105639620399,0.128249502550101,0.10162667835798,0.115768709113422,0.128249502550101,0.107359912685637
"Rheumatoid arthrits",0.0220824020542819,0.132409048462471,0.0999899660382537,0.182053533683929,0.0999899660382537,0.132409048462471,0.182053533683929,0.132409048462471,0.0999899660382537,0.041172338956928,0.078342403747824,0.078342403747824,0.078342403747824,0.078342403747824,0.0999899660382537,0.0999899660382537,0.0636715268145186,0.053628690703256,0.0545213728963117,0.0467066854134993,0.053628690703256,0.0999899660382537,0.132409048462471,0.107359912685637,1,0.132409048462471,0.182053533683929,0.0220824020542819,0.078342403747824,0.0262176875118606,0.0220824020542819,0.0220824020542819,0.132409048462471,0.132409048462471,0.0999899660382537,0.053628690703256,0.078342403747824,0.041172338956928,1
"Psoriasis",0.0498579928542293,0.21027009483971,0.527498700621427,0.266881513729481,0.824999518748676,0.21027009483971,0.266881513729481,0.21027009483971,0.173472727049999,0.0714299464323527,0.148976520421494,0.148976520421494,0.148976520421494,0.148976520421494,0.173472727049999,0.527498700621427,0.402631596345066,0.368193282506597,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.21027009483971,0.147105639620399,0.132409048462471,1,0.266881513729481,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.21027009483971,0.173472727049999,0.1210836969317,0.148976520421494,0.0714299464323527,0.132409048462471
"Necrotizing Enterocolitis",0.0698989009481177,0.491151693334087,0.226732089065557,0.605211212001579,0.226732089065557,0.491151693334087,0.605211212001579,0.491151693334087,0.417263256347538,0.0933602719681705,0.368184127562069,0.200063521369343,0.368184127562069,0.368184127562069,0.417263256347538,0.226732089065557,0.182053533683929,0.169754473731143,0.109892388006257,0.161291303605171,0.169754473731143,0.226732089065557,0.491151693334087,0.176370950666949,0.182053533683929,0.266881513729481,1,0.0698989009481177,0.200063521369343,0.074963219752206,0.0698989009481177,0.0698989009481177,0.266881513729481,0.491151693334087,0.417263256347538,0.169754473731143,0.368184127562069,0.0933602719681705,0.182053533683929
"Systemic inflammatory response syndrome",0.133086930698233,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0367619429090039,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.0367619429090039,0.0220824020542819,0.0180216412275933,0.0498579928542293,0.0152223787564515,0.0180216412275933,0.0367619429090039,0.0498579928542293,0.10162667835798,0.0220824020542819,0.0498579928542293,0.0698989009481177,1,0.0280132767810044,0.0220824020542819,0.0180216412275933,0.133086930698233,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0180216412275933,0.0280132767810044,0.164303377491262,0.0220824020542819
"COPD",0.0280132767810044,0.148976520421494,0.115648378688694,0.200063521369343,0.115648378688694,0.148976520421494,0.200063521369343,0.148976520421494,0.115648378688694,0.0476199206365212,0.093408272931481,0.093408272931481,0.093408272931481,0.093408272931481,0.115648378688694,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.185269140043217,0.0680322436110106,0.351665478053376,0.148976520421494,0.115768709113422,0.078342403747824,0.148976520421494,0.200063521369343,0.0280132767810044,1,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.148976520421494,0.115648378688694,0.206873557102869,0.093408272931481,0.0476199206365212,0.078342403747824
"Type 2 diabetes",0.0220824020542819,0.0545213728963117,0.041172338956928,0.074963219752206,0.041172338956928,0.0545213728963117,0.074963219752206,0.0545213728963117,0.041172338956928,0.0999899660382537,0.0322586368373393,0.0322586368373393,0.0322586368373393,0.0322586368373393,0.041172338956928,0.041172338956928,0.0262176875118606,0.0220824020542819,0.0545213728963117,0.0192321645820291,0.0220824020542819,0.041172338956928,0.0545213728963117,0.107359912685637,0.0262176875118606,0.0545213728963117,0.074963219752206,0.0220824020542819,0.0322586368373393,1,0.574132130058704,0.0220824020542819,0.0545213728963117,0.0545213728963117,0.041172338956928,0.0220824020542819,0.0322586368373393,0.041172338956928,0.0262176875118606
"Type 1 diabetes",0.0180216412275933,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0892790042075809,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.0367619429090039,0.0220824020542819,0.0180216412275933,0.0498579928542293,0.0152223787564515,0.0180216412275933,0.0367619429090039,0.0498579928542293,0.10162667835798,0.0220824020542819,0.0498579928542293,0.0698989009481177,0.0180216412275933,0.0280132767810044,0.574132130058704,1,0.0180216412275933,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0180216412275933,0.0280132767810044,0.0367619429090039,0.0220824020542819
"Colorectal carcinoma",0.687384851140685,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0367619429090039,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.0367619429090039,0.0220824020542819,0.0180216412275933,0.0498579928542293,0.0152223787564515,0.0180216412275933,0.0367619429090039,0.0498579928542293,0.10162667835798,0.0220824020542819,0.0498579928542293,0.0698989009481177,0.133086930698233,0.0280132767810044,0.0220824020542819,0.0180216412275933,1,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0180216412275933,0.0280132767810044,0.164303377491262,0.0220824020542819
"Kidney stones",0.0498579928542293,0.21027009483971,0.173472727049999,0.266881513729481,0.173472727049999,0.21027009483971,0.266881513729481,0.21027009483971,0.173472727049999,0.0714299464323527,0.148976520421494,0.148976520421494,0.148976520421494,0.148976520421494,0.173472727049999,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.21027009483971,0.147105639620399,0.132409048462471,0.21027009483971,0.266881513729481,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,1,0.21027009483971,0.173472727049999,0.1210836969317,0.148976520421494,0.0714299464323527,0.132409048462471
"Whipple's disease",0.0498579928542293,0.386967653528542,0.173472727049999,0.491151693334087,0.173472727049999,0.386967653528542,0.491151693334087,0.639392737369731,0.527498700621427,0.0714299464323527,0.453010235567401,0.148976520421494,0.453010235567401,0.453010235567401,0.527498700621427,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.639392737369731,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,1,0.319248127932352,0.1210836969317,0.453010235567401,0.0714299464323527,0.132409048462471
"Liver cirrhosis",0.0367619429090039,0.319248127932352,0.138778105311832,0.417263256347538,0.138778105311832,0.319248127932352,0.417263256347538,0.319248127932352,0.255398361876396,0.0571439257166366,0.212831890191799,0.115648378688694,0.212831890191799,0.212831890191799,0.255398361876396,0.138778105311832,0.0999899660382537,0.0892790042075809,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.319248127932352,0.128249502550101,0.0999899660382537,0.173472727049999,0.417263256347538,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.319248127932352,1,0.0892790042075809,0.212831890191799,0.0571439257166366,0.0999899660382537
"Allergic asthma",0.0180216412275933,0.1210836969317,0.0892790042075809,0.169754473731143,0.0892790042075809,0.1210836969317,0.169754473731143,0.1210836969317,0.0892790042075809,0.0367619429090039,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0680322436110106,0.0892790042075809,0.0892790042075809,0.053628690703256,0.043766842981298,0.0498579928542293,0.395774731323091,0.043766842981298,0.643321970760248,0.1210836969317,0.10162667835798,0.053628690703256,0.1210836969317,0.169754473731143,0.0180216412275933,0.206873557102869,0.0220824020542819,0.0180216412275933,0.0180216412275933,0.1210836969317,0.1210836969317,0.0892790042075809,1,0.0680322436110106,0.0367619429090039,0.053628690703256
"Clostridium difficile infection(CDI)",0.0280132767810044,0.274166873716867,0.115648378688694,0.368184127562069,0.115648378688694,0.274166873716867,0.368184127562069,0.453010235567401,0.351665478053376,0.0476199206365212,0.444229946263574,0.093408272931481,0.673076438978573,0.673076438978573,0.549999174998487,0.115648378688694,0.078342403747824,0.0680322436110106,0.0613432731147329,0.0609274353162256,0.0680322436110106,0.115648378688694,0.708500752496734,0.115768709113422,0.078342403747824,0.148976520421494,0.368184127562069,0.0280132767810044,0.093408272931481,0.0322586368373393,0.0280132767810044,0.0280132767810044,0.148976520421494,0.453010235567401,0.212831890191799,0.0680322436110106,1,0.0476199206365212,0.078342403747824
"Skin and mucosal infections",0.164303377491262,0.0714299464323527,0.0571439257166366,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0933602719681705,0.0714299464323527,0.0571439257166366,0.0571439257166366,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0571439257166366,0.041172338956928,0.0367619429090039,0.0714299464323527,0.0337236205744276,0.0367619429090039,0.0571439257166366,0.0714299464323527,0.128249502550101,0.041172338956928,0.0714299464323527,0.0933602719681705,0.164303377491262,0.0476199206365212,0.041172338956928,0.0367619429090039,0.164303377491262,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.0367619429090039,0.0476199206365212,1,0.041172338956928
"New-onset untreated rheumatoid arthrits",0.0220824020542819,0.132409048462471,0.0999899660382537,0.182053533683929,0.0999899660382537,0.132409048462471,0.182053533683929,0.132409048462471,0.0999899660382537,0.041172338956928,0.078342403747824,0.078342403747824,0.078342403747824,0.078342403747824,0.0999899660382537,0.0999899660382537,0.0636715268145186,0.053628690703256,0.0545213728963117,0.0467066854134993,0.053628690703256,0.0999899660382537,0.132409048462471,0.107359912685637,1,0.132409048462471,0.182053533683929,0.0220824020542819,0.078342403747824,0.0262176875118606,0.0220824020542819,0.0220824020542819,0.132409048462471,0.132409048462471,0.0999899660382537,0.053628690703256,0.078342403747824,0.041172338956928,1
